Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.LN5745355-1,    518.041,   -41.73,    511.648,  -163.31,    440.165,    84.28,          0,     0.00,    80.2528,  -137.94,    518.041,   138.27,    511.648,    16.69,    440.165,   -95.72,          0,     0.00,    80.2529,    42.06
Line.LN5896834-1,    516.779,   -41.70,    511.648,  -163.31,    440.165,    84.28,          0,     0.00,    80.1603,  -138.86,     516.78,   138.30,    511.648,    16.69,    440.165,   -95.72,          0,     0.00,    80.1603,    41.14
Line.LN6023352-1,    516.023,   -41.69,    511.648,  -163.31,    440.165,    84.28,          0,     0.00,    80.1117,  -139.41,    516.024,   138.31,    511.648,    16.69,    440.164,   -95.72,          0,     0.00,    80.1117,    40.59
Line.L9407_48332_SW,    516.024,   -41.69,    511.648,  -163.31,    440.164,    84.28,          0,     0.00,    80.1117,  -139.41,    516.024,   138.31,    511.648,    16.69,    440.164,   -95.72,          0,     0.00,    80.1117,    40.59
Line.LN6326450-1,    516.024,   -41.69,    511.648,  -163.31,    440.164,    84.28,          0,     0.00,    80.1117,  -139.41,    516.024,   138.31,    511.648,    16.69,    440.164,   -95.72,          0,     0.00,    80.1117,    40.59
Line.LN5992960-1,    516.024,   -41.69,    511.648,  -163.31,    440.164,    84.28,          0,     0.00,    80.1117,  -139.41,    516.024,   138.31,    511.649,    16.69,    440.164,   -95.72,          0,     0.00,    80.1117,    40.59
Line.LN5508630-1,    516.024,   -41.69,    511.649,  -163.31,    440.164,    84.28,          0,     0.00,    80.1117,  -139.41,    516.024,   138.31,    511.649,    16.69,    440.164,   -95.72,          0,     0.00,    80.1117,    40.59
Line.LN5805762-1,    516.024,   -41.69,    511.649,  -163.31,    439.617,    84.30,          0,     0.00,     80.618,  -139.22,    516.024,   138.31,    511.649,    16.69,    439.617,   -95.70,          0,     0.00,     80.618,    40.78
Line.LN6018336-1,    515.519,   -41.68,    511.649,  -163.31,    439.617,    84.30,          0,     0.00,     80.587,  -139.58,    515.519,   138.32,    511.649,    16.69,    439.617,   -95.70,          0,     0.00,     80.587,    40.42
Line.LN5563942-4,    515.519,   -41.68,    511.649,  -163.31,    436.053,    84.43,          0,     0.00,    83.8967,  -138.41,    515.519,   138.32,    511.649,    16.69,    436.053,   -95.57,          0,     0.00,    83.8967,    41.59
Line.2002200004868472_SW,    515.519,   -41.68,    511.649,  -163.31,    436.053,    84.43,          0,     0.00,    83.8967,  -138.41,    515.519,   138.32,    511.649,    16.69,    436.053,   -95.57,          0,     0.00,    83.8967,    41.59
Line.CAP_2A,    515.519,   -41.68,          0,     0.00,          0,     0.00,          0,     0.00,    515.519,   -41.68,    515.519,   138.32,          0,     0.00,          0,     0.00,          0,     0.00,    515.519,   138.32
Line.LN5563942-5,    515.519,   -41.68,    511.649,  -163.31,    436.053,    84.43,          0,     0.00,    83.8967,  -138.41,    515.519,   138.32,    511.649,    16.69,    436.053,   -95.57,          0,     0.00,    83.8967,    41.59
Line.LN5563942-3,    519.796,   -46.27,    516.951,  -167.96,    437.025,    78.75,          0,     0.00,     82.023,  -138.07,    519.796,   133.73,    516.951,    12.04,    437.025,  -101.25,          0,     0.00,     82.023,    41.93
Line.LN5896833-1,    519.796,   -46.27,    516.951,  -167.96,    437.025,    78.75,          0,     0.00,     82.023,  -138.07,    519.797,   133.73,    516.952,    12.04,    437.025,  -101.25,          0,     0.00,     82.023,    41.93
Line.LN5805761-1,    519.797,   -46.27,     514.84,  -167.94,    437.025,    78.75,          0,     0.00,    80.3048,  -137.20,    519.797,   133.73,     514.84,    12.06,    437.025,  -101.25,          0,     0.00,    80.3048,    42.80
Line.LN5799561-1,    117.974,   -33.01,    135.648,  -156.94,    166.008,    81.16,          0,     0.00,    46.6474,    90.46,    117.974,   146.99,    135.648,    23.06,    166.008,   -98.84,          0,     0.00,    46.6473,   -89.54
Line.LN5799561-2,    117.246,   -32.88,    135.648,  -156.94,    166.008,    81.16,          0,     0.00,    47.2769,    91.02,    117.246,   147.12,    135.648,    23.06,    166.008,   -98.84,          0,     0.00,    47.2768,   -88.98
Line.A8611_48332_SW,    117.246,   -32.88,    135.648,  -156.94,    166.008,    81.16,          0,     0.00,    47.2768,    91.02,    117.246,   147.12,    135.648,    23.06,    166.008,   -98.84,          0,     0.00,    47.2768,   -88.98
Line.LN5594236-1,    117.246,   -32.88,    135.648,  -156.94,    166.008,    81.16,          0,     0.00,    47.2768,    91.02,    117.245,   147.12,    135.648,    23.05,    166.008,   -98.84,          0,     0.00,    47.2767,   -88.98
Line.LN5503575-1,    117.245,   -32.88,    135.648,  -156.95,    163.914,    81.34,          0,     0.00,    45.3077,    92.10,    117.245,   147.12,    135.648,    23.05,    163.914,   -98.66,          0,     0.00,    45.3076,   -87.90
Line.LN6018331-1,    117.245,   -32.88,    135.648,  -156.95,    158.915,    81.78,          0,     0.00,    40.6773,    95.12,    117.245,   147.12,    135.648,    23.05,    158.915,   -98.22,          0,     0.00,    40.6773,   -84.88
Line.LN6291244-1,    116.031,   -32.66,    135.648,  -156.95,    158.915,    81.78,          0,     0.00,    41.7907,    96.05,     116.03,   147.34,    135.648,    23.05,    158.915,   -98.22,          0,     0.00,    41.7905,   -83.95
Line.LN5473436-1,     116.03,   -32.66,    135.648,  -156.95,    158.915,    81.78,          0,     0.00,    41.7905,    96.05,     116.03,   147.34,    135.648,    23.05,    158.915,   -98.22,          0,     0.00,    41.7905,   -83.95
Line.LN5473436-2,     116.03,   -32.66,    135.648,  -156.95,    158.083,    81.85,          0,     0.00,    41.0395,    96.62,     116.03,   147.34,    135.648,    23.05,    158.083,   -98.15,          0,     0.00,    41.0394,   -83.38
Line.LN5896825-1,     116.03,   -32.66,    135.648,  -156.95,    156.695,    81.98,          0,     0.00,    39.7944,    97.63,     116.03,   147.34,    135.648,    23.05,    156.695,   -98.02,          0,     0.00,    39.7943,   -82.37
Line.LN6351510-1,     116.03,   -32.66,    135.648,  -156.95,    156.695,    81.98,          0,     0.00,    39.7943,    97.63,     116.03,   147.34,    135.648,    23.05,    156.695,   -98.02,          0,     0.00,    39.7943,   -82.37
Line.LN5654471-1,     116.03,   -32.66,    134.293,  -156.78,    156.695,    81.98,          0,     0.00,    39.7824,    95.59,     116.03,   147.34,    134.293,    23.22,    156.695,   -98.02,          0,     0.00,    39.7823,   -84.41
Line.LN5745348-1,     116.03,   -32.66,    131.048,  -156.34,    156.695,    81.98,          0,     0.00,    39.9697,    90.72,     116.03,   147.34,    131.048,    23.65,    156.695,   -98.02,          0,     0.00,    39.9696,   -89.28
Line.LN5504876-1,    8.05381,   -53.44,    5.09841,  -173.56,  0.0186272,   168.73,          0,     0.00,    7.04299,   -92.33,     8.0543,   126.55,    5.09894,     6.42,  0.0167878,   -11.27,          0,     0.00,    7.04304,    87.67
Line.LN5928744-1,     8.0543,   -53.45,    5.09894,  -173.58,  0.0167878,   168.73,          0,     0.00,    7.04304,   -92.33,     8.0545,   126.55,    5.09916,     6.41,  0.0160266,   -11.27,          0,     0.00,    7.04305,    87.67
Line.LN5927423-1,    7.27697,   -53.44,    5.09916,  -173.59,  0.0160266,   168.73,          0,     0.00,    6.45479,   -96.65,    7.27798,   126.54,    5.10027,     6.37,  0.0122222,   -11.27,          0,     0.00,    6.45488,    83.35
Line.LN5684911-1,  0.0115282,    52.87,    5.10027,  -173.63,  0.0122222,   168.73,          0,     0.00,      5.104,  -173.76, 0.00773735,  -127.13,    5.10144,     6.33, 0.00820322,   -11.27,          0,     0.00,    5.10395,     6.24
Line.LN5957494-1, 0.00773735,    52.87,    5.10144,  -173.67, 0.00820322,   168.73,          0,     0.00,    5.10395,  -173.76, 1.54631E-012,   162.90,    5.10384,     6.24, 5.45697E-012,   180.00,          0,     0.00,    5.10384,     6.24
Line.LN6200532-1,    108.537,   -31.15,    126.187,  -155.66,    156.694,    81.98,          0,     0.00,    47.0041,    90.26,    108.537,   148.85,    126.187,    24.34,    156.693,   -98.03,          0,     0.00,     47.004,   -89.74
Line.LN5594239-1,    106.736,   -30.75,    126.187,  -155.66,    156.693,    81.97,          0,     0.00,     48.594,    91.62,    106.735,   149.24,    126.187,    24.34,    156.693,   -98.03,          0,     0.00,    48.5939,   -88.38
Line.LN6078767-1,    106.735,   -30.76,    126.187,  -155.66,    155.306,    82.11,          0,     0.00,    47.2907,    92.34,    106.735,   149.24,    126.187,    24.34,    155.306,   -97.89,          0,     0.00,    47.2906,   -87.66
Line.LN5503576-1,    106.735,   -30.76,    126.187,  -155.66,    155.306,    82.11,          0,     0.00,    47.2906,    92.34,    106.735,   149.24,    126.187,    24.33,    155.305,   -97.89,          0,     0.00,    47.2906,   -87.66
Line.LN6200527-1,    106.735,   -30.76,    126.187,  -155.67,    153.919,    82.25,          0,     0.00,    45.9954,    93.10,    106.735,   149.24,    126.187,    24.33,    153.918,   -97.76,          0,     0.00,    45.9953,   -86.90
Line.LN6170293-1,    106.019,   -30.60,    126.187,  -155.67,    153.918,    82.24,          0,     0.00,    46.6478,    93.62,    106.019,   149.40,    126.187,    24.33,    153.918,   -97.76,          0,     0.00,    46.6477,   -86.38
Line.LN5745347-1,    103.514,   -30.01,    126.187,  -155.67,    153.918,    82.24,          0,     0.00,    48.9642,    95.35,    103.514,   149.99,    126.187,    24.33,    153.918,   -97.76,          0,     0.00,    48.9641,   -84.65
Line.LN5957493-1,    103.514,   -30.01,    126.187,  -155.67,    151.833,    82.46,          0,     0.00,     47.072,    96.60,    103.513,   149.99,    126.187,    24.33,    151.833,   -97.54,          0,     0.00,    47.0719,   -83.40
Line.LN6078768-1,    103.513,   -30.01,    116.388,  -154.06,    151.833,    82.46,          0,     0.00,    48.0949,    84.14,    103.513,   149.99,    116.388,    25.94,    151.833,   -97.54,          0,     0.00,    48.0948,   -95.86
Line.LN6351511-1,    103.513,   -30.01,    115.054,  -153.82,    151.833,    82.46,          0,     0.00,    48.4047,    82.50,    103.513,   149.99,    115.053,    26.18,    151.833,   -97.55,          0,     0.00,    48.4046,   -97.50
Line.LN5958866-1,    103.513,   -30.01,    115.053,  -153.82,    150.448,    82.60,          0,     0.00,    47.0212,    82.97,    103.512,   149.99,    115.053,    26.17,    150.447,   -97.40,          0,     0.00,    47.0211,   -97.03
Line.A8645_48332_SW,    103.512,   -30.01,    115.053,  -153.83,    150.447,    82.60,          0,     0.00,    47.0211,    82.97,    103.512,   149.99,    115.053,    26.17,    150.447,   -97.40,          0,     0.00,    47.0211,   -97.03
Line.LN6201850-1,    103.512,   -30.01,    115.053,  -153.83,    150.447,    82.60,          0,     0.00,    47.0211,    82.97,    103.512,   149.99,    115.053,    26.17,    150.447,   -97.40,          0,     0.00,     47.021,   -97.03
Line.LN6291252-1,    101.617,   -29.54,    115.053,  -153.83,    150.447,    82.60,          0,     0.00,    48.5534,    84.64,    101.616,   150.46,    115.053,    26.17,    150.447,   -97.40,          0,     0.00,    48.5533,   -95.36
Line.LN6291252-2,    101.616,   -29.54,    115.053,  -153.83,    150.447,    82.60,          0,     0.00,    48.5533,    84.64,    101.616,   150.46,    115.053,    26.17,    150.447,   -97.40,          0,     0.00,    48.5532,   -95.36
Line.LN6018341-1,    100.909,   -29.36,    115.053,  -153.83,    150.447,    82.60,          0,     0.00,    49.1385,    85.24,    100.908,   150.64,    115.053,    26.17,    150.446,   -97.40,          0,     0.00,    49.1384,   -94.76
Line.LN6291253-1,    100.908,   -29.36,    115.053,  -153.83,    95.5463,    92.32,          0,     0.00,    19.7553,  -166.07,    100.908,   150.63,    115.053,    26.17,    95.5457,   -87.69,          0,     0.00,    19.7553,    13.93
Line.LN6170302-1,    100.908,   -29.37,    115.053,  -153.83,    94.7696,    92.54,          0,     0.00,    20.2888,  -164.14,    100.908,   150.63,    115.052,    26.17,    94.7688,   -87.46,          0,     0.00,    20.2888,    15.86
Line.LN6321427-1,    99.7285,   -29.06,    115.052,  -153.83,    94.7688,    92.54,          0,     0.00,    20.7724,  -167.50,     99.728,   150.94,    115.052,    26.17,     94.768,   -87.46,          0,     0.00,    20.7723,    12.50
Line.LN5531195-1,     99.728,   -29.06,      108.8,  -152.61,     94.768,    92.54,          0,     0.00,    14.1439,  -164.33,    99.7279,   150.94,      108.8,    27.39,    94.7676,   -87.46,          0,     0.00,    14.1439,    15.67
Line.LN6106511-1,    99.7279,   -29.06,      108.8,  -152.61,    94.7676,    92.54,          0,     0.00,    14.1439,  -164.33,    99.7276,   150.94,      108.8,    27.39,    94.7671,   -87.47,          0,     0.00,    14.1439,    15.67
Line.LN6351524-1,    99.7276,   -29.06,      108.8,  -152.61,    94.2505,    92.69,          0,     0.00,     14.514,  -162.57,    99.7272,   150.94,      108.8,    27.39,    94.2499,   -87.31,          0,     0.00,     14.514,    17.43
Line.LN6109158-1,    99.7272,   -29.06,      108.8,  -152.61,    94.2499,    92.69,          0,     0.00,     14.514,  -162.57,    99.7269,   150.94,      108.8,    27.39,    94.2493,   -87.32,          0,     0.00,     14.514,    17.43
Line.LN5473449-1,    99.7269,   -29.06,      108.8,  -152.61,    92.9547,    93.08,          0,     0.00,    15.5008,  -158.53,    99.7265,   150.94,    108.799,    27.39,    92.9539,   -86.92,          0,     0.00,    15.5008,    21.47
Line.LN6079946-1,    99.7265,   -29.06,    108.001,  -152.44,    92.9539,    93.08,          0,     0.00,    14.6755,  -157.60,    99.7261,   150.93,    108.001,    27.56,    92.9531,   -86.92,          0,     0.00,    14.6755,    22.40
Line.LN6256144-4,    99.7261,   -29.07,    108.001,  -152.44,    92.1784,    93.32,          0,     0.00,    15.3131,  -155.35,    99.7258,   150.93,    108.001,    27.56,    92.1779,   -86.68,          0,     0.00,    15.3131,    24.65
Line.LN6256144-3,    99.7258,   -29.07,    108.001,  -152.44,    92.1779,    93.32,          0,     0.00,    15.3131,  -155.35,    99.7255,   150.93,    108.001,    27.55,    92.1773,   -86.68,          0,     0.00,    15.3131,    24.65
Line.LN6256144-1,    99.7255,   -29.07,    108.001,  -152.45,    91.4029,    93.56,          0,     0.00,     15.975,  -153.27,    99.7253,   150.93,    108.001,    27.55,    91.4026,   -86.44,          0,     0.00,     15.975,    26.73
Line.LN5527400-1,    99.7253,   -29.07,    107.199,  -152.27,    91.4026,    93.56,          0,     0.00,    15.1718,  -152.07,    99.7253,   150.93,    107.199,    27.73,    91.4026,   -86.44,          0,     0.00,    15.1718,    27.93
Line.LN5955063-1,    99.7253,   -29.07,    107.199,  -152.27,    91.4026,    93.56,          0,     0.00,    15.1718,  -152.07,     99.725,   150.93,    107.199,    27.73,     91.402,   -86.44,          0,     0.00,    15.1718,    27.93
Line.LN6440069-1,     99.725,   -29.07,    107.199,  -152.27,     91.402,    93.56,          0,     0.00,    15.1718,  -152.07,    99.7247,   150.93,    107.199,    27.73,    91.4015,   -86.44,          0,     0.00,    15.1718,    27.93
Line.LN5623403-1,    99.7247,   -29.07,    107.199,  -152.27,    90.8852,    93.73,          0,     0.00,    15.6335,  -150.75,    99.7244,   150.93,    107.199,    27.73,    90.8846,   -86.27,          0,     0.00,    15.6335,    29.25
Line.LN5502533-1,    90.3771,   -26.23,    101.821,  -151.01,    86.3635,    95.31,          0,     0.00,    16.3169,  -168.34,    90.3764,   153.77,    101.821,    28.99,    86.3624,   -84.70,          0,     0.00,    16.3168,    11.66
Line.LN6259995-1,    88.7462,   -25.66,    101.821,  -151.01,    86.3624,    95.30,          0,     0.00,    17.1509,  -174.02,    88.7456,   154.33,     101.82,    28.99,    86.3615,   -84.70,          0,     0.00,    17.1509,     5.98
Line.LN6350541-1,    87.5847,   -25.24,     101.82,  -151.01,    86.3615,    95.30,          0,     0.00,    17.8407,  -177.74,    87.5841,   154.75,     101.82,    28.98,    86.3606,   -84.70,          0,     0.00,    17.8406,     2.26
Line.LN5502531-1,    87.5841,   -25.25,    100.483,  -150.67,    86.3606,    95.30,          0,     0.00,    16.3755,  -177.98,    87.5839,   154.75,    100.483,    29.33,    86.3603,   -84.70,          0,     0.00,    16.3755,     2.02
Line.LN6290212-1,    87.5836,   -25.25,    100.483,  -150.67,    86.3603,    95.30,          0,     0.00,    16.3761,  -177.97,    87.5831,   154.75,    100.483,    29.32,    86.3596,   -84.70,          0,     0.00,     16.376,     2.03
Line.LN6138608-3,    85.2567,   -24.36,    100.483,  -150.68,    86.3596,    95.30,          0,     0.00,    17.9876,   174.85,    85.2561,   155.64,    100.482,    29.32,    86.3589,   -84.70,          0,     0.00,    17.9876,    -5.15
Line.LN4586093_SW,    85.2561,   -24.36,    100.482,  -150.68,    86.3589,    95.30,          0,     0.00,    17.9876,   174.85,    85.2561,   155.64,    100.482,    29.32,    86.3589,   -84.70,          0,     0.00,    17.9876,    -5.15
Line.LN6138608-2,    85.2561,   -24.36,    100.482,  -150.68,    86.3589,    95.30,          0,     0.00,    17.9876,   174.85,    85.2561,   155.64,    100.482,    29.32,    86.3588,   -84.70,          0,     0.00,    17.9876,    -5.15
Line.LN5502532-1,     79.308,   -24.36,     93.472,  -150.68,    83.7419,    95.30,          0,     0.00,    17.6712,   163.92,     79.308,   155.64,     93.472,    29.32,    83.7418,   -84.70,          0,     0.00,    17.6712,   -16.08
Line.LN5472360-1,     79.308,   -24.36,     93.472,  -150.68,    83.7418,    95.30,          0,     0.00,    17.6712,   163.92,    79.3076,   155.64,    93.4718,    29.32,    83.7413,   -84.70,          0,     0.00,    17.6712,   -16.08
Line.LN5683823-1,    79.3076,   -24.36,     83.956,  -147.71,    83.7413,    95.30,          0,     0.00,    8.69431,   137.96,    79.3071,   155.64,    83.9555,    32.29,    83.7407,   -84.71,          0,     0.00,    8.69426,   -42.04
Line.LN5835143-1,    78.6656,   -24.09,    83.9555,  -147.71,    82.9964,    95.59,          0,     0.00,    9.18304,   142.02,    78.6645,   155.91,    83.9547,    32.28,     82.995,   -84.42,          0,     0.00,    9.18295,   -37.98
Line.LN5593234-1,    78.6645,   -24.09,    83.9547,  -147.72,    82.2519,    95.88,          0,     0.00,    9.01963,   147.33,    78.6639,   155.91,    83.9542,    32.28,    82.2511,   -84.12,          0,     0.00,    9.01959,   -32.67
Line.LN5863823-1,    78.6639,   -24.09,    83.9542,  -147.72,    46.5434,   128.70,          0,     0.00,      49.49,  -124.83,    78.6637,   155.91,     83.954,    32.28,    46.5425,   -51.30,          0,     0.00,      49.49,    55.17
Line.LN5501088-1,    78.6637,   -24.09,     83.954,  -147.72,    46.5425,   128.70,          0,     0.00,      49.49,  -124.83,    78.6632,   155.91,    83.9536,    32.28,     46.541,   -51.31,          0,     0.00,      49.49,    55.17
Line.LN6108136-1,    78.6632,   -24.09,    83.9536,  -147.72,    46.1588,   129.65,          0,     0.00,    50.3364,  -124.65,     78.663,   155.90,    83.9534,    32.28,    46.1582,   -50.35,          0,     0.00,    50.3364,    55.35
Line.LN6017299-1,     78.663,   -24.10,    83.9534,  -147.72,    46.1582,   129.65,          0,     0.00,    50.3364,  -124.65,    78.6626,   155.90,    83.9531,    32.28,    46.1569,   -50.36,          0,     0.00,    50.3364,    55.35
Line.LN6413567-2,    78.6626,   -24.10,    83.9531,  -147.72,    45.9094,   130.29,          0,     0.00,    50.9008,  -124.54,    78.6623,   155.90,    83.9528,    32.28,    45.9084,   -49.71,          0,     0.00,    50.9008,    55.46
Line.LN6413567-3,    78.6623,   -24.10,    83.9528,  -147.72,    45.9084,   130.29,          0,     0.00,    50.9008,  -124.54,    78.6622,   155.90,    83.9528,    32.28,    45.9081,   -49.71,          0,     0.00,    50.9008,    55.46
Line.X8223_48332_SW,    78.6622,   -24.10,    83.9528,  -147.72,    45.9081,   130.29,          0,     0.00,    50.9008,  -124.54,    78.6622,   155.90,    83.9528,    32.28,    45.9081,   -49.71,          0,     0.00,    50.9008,    55.46
Line.LN5806919-1,    78.6622,   -24.10,    83.9528,  -147.72,    45.9081,   130.29,          0,     0.00,    50.9008,  -124.54,    78.6616,   155.90,    83.9523,    32.27,     45.906,   -49.71,          0,     0.00,    50.9009,    55.46
Line.LN5804791-1,    63.3392,   -15.29,    83.9523,  -147.73,     45.906,   130.29,          0,     0.00,    47.6258,  -146.18,    63.3385,   164.71,    83.9519,    32.27,    45.9044,   -49.72,          0,     0.00,    47.6258,    33.82
Line.LN5593222-1,    62.7629,   -14.85,    83.9519,  -147.73,    45.9044,   130.28,          0,     0.00,     47.643,  -147.08,    62.7617,   165.15,    83.9513,    32.27,    45.9021,   -49.72,          0,     0.00,     47.643,    32.92
Line.LN5956463-1,    62.7617,   -14.85,    83.9513,  -147.73,    45.0296,   132.78,          0,     0.00,    49.4837,  -145.74,    62.7607,   165.15,    83.9508,    32.27,    45.0275,   -47.22,          0,     0.00,    49.4838,    34.26
